,case_name,document_type,case_number,court,is search warrant?
51,"USA v. In the matter of the search of Apple MacBook Pro, model A1278, laptop computer, serial no. C17HT297DTY3",Order on Motion to Unseal Case,6:19-sw-02184-1,mowd,True
52,"USA v. In the matter of the search of: Apple MacBook Pro, model A1502, laptop computer, serial No. C02P90CUFVH7",Order on Motion to Unseal Case,6:19-sw-02186-1,mowd,True
53,USA v. SEALED,Unrestrict Case,1:20-sw-01303-1,cod,True
54,USA v. SEALED,Order on Motion to Unrestrict Case,1:20-sw-01303-1,cod,True
55,USA v.  Facebook User ID alicia.tangeman,Order on Motion to Unrestrict Case,1:21-sw-00045-1,cod,True
56,State Court Records,State Court Records - UPLOAD,6:21-sc-99999,vawd,True
57,USA v. SEALED,Order on Motion to Unseal Case,1:21-sw-00189-1,rid,True
58,State Court Records,State Court Records - UPLOAD,7:21-sc-99999,vawd,True
59,USA v. United States Postal Service Priority Mail Express Parcel bearing label numbers: EJ 504 029 666 US,Order on Motion to Unseal Case,1:21-sw-00032-1,rid,True
60,"USA v. THE SEARCH OF A BLACK 2014 CHEVROLET CRUZE LS WITH FLORIDA LICENSE PLATE PK957D AND VIN &#035;1G1PA5SG937283380 CURRENTLY STORED IN A SECURED LOCATION IN WASHINGTON, D.C.",Case Unsealed,1:21-sw-00047-1,dcd,True
61,"NFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. &#167; 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167; 1752(a)  et al",Order on Motion to Unseal Case,1:21-sc-00194,dcd,True
62,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY PARLER, LLC PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167;&#167; 111(a), 231(a), 1512(c), 1752(a), 40 U.S.C. &#167; 5104(e)",Order on Motion to Unseal Case,1:21-sc-00395,dcd,True
63,THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE VERIZON WIRELESS CELL PHONE AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME NUMBER IN VIOLATION OF 18 U.S,Case Unsealed,1:21-sc-00308,dcd,True
64,"INFORMATION ASSOCIATED WITH TWO INSTAGRAM ACCOUNTS STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167;&#167; 111(a), 231(a), 1",Order on Motion to Unseal Case,1:21-sc-00394,dcd,True
65,"THE SEARCH OF INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY  FACEBOOK, INC. PURSUANT TO 18 U.S.C. &#167; 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167;&#167; 2, 151",Case Unsealed,1:21-sc-01347,dcd,True
66,"INFORMATION ASSOCIATED WITH TWO INSTAGRAM ACCOUNTS STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167;&#167; 111(a), 231(a), 1",Case Unsealed,1:21-sc-00394,dcd,True
67,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY PARLER, LLC PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167;&#167; 111(a), 231(a), 1512(c), 1752(a), 40 U.S.C. &#167; 5104(e)",Case Unsealed,1:21-sc-00395,dcd,True
68,"NFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. &#167; 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167; 1752(a)  et al",Case Unsealed,1:21-sc-00194,dcd,True
69,THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE AT&T CELL PHONE AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME NUMBER IN VIOLATION OF 18 U.S.C.  231(a)(,Order on Motion to Unseal Case,1:21-sc-00340,dcd,True
70,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. 1752(a)",Order on Motion to Unseal Case,1:21-sc-00245,dcd,True
71,THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE VERIZON WIRELESS CELL PHONE AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME NUMBER IN VIOLATION OF 18 U.S,Order on Motion to Unseal Case,1:21-sc-00308,dcd,True
72,THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE AT&T CELL PHONE AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME NUMBER IN VIOLATION OF 18 U.S.C.  231(a)(,Case Unsealed,1:21-sc-00340,dcd,True
73,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. 1752(a)",Case Unsealed,1:21-sc-00245,dcd,True
74,IN THE MATTER OF THE SEARCH OF THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE T-MOBILE CELLULAR NUMBER AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME N,Order on Motion to Unseal Case,1:20-sc-03296,dcd,True
75,APPLICATION OF USA FOR 2705(b) NONDISCLOSURE ORDER FOR GRAND JURY SUBPOENA GJ2020111968168,Notice,1:20-sc-03082,dcd,True
76,INFORMATION ASSOCIATED WITH  ONE CELL PHONE ACCOUNT STORED AT PREMISES CONTROLLED BY AT&amp;T CORPORATION PURSUANT TO 18 U.S.C. &#167; 2703 FOR INVESTIGATION OF VIOLATION(S) OF 18 U.S.C. &#167;&#167; 111(,Order on Motion to Unseal Case,1:21-sc-00891,dcd,True
77,"APPLICATION FOR SEARCH OF INFORMATION ASSOCIATED ONE ICLOUD ACCOUNT THAT IS STORED AT PREMISES CONTROLLED BY APPLE INC. PURSUANT TO 18 U.S.C. &#167; 2703, FOR AN INVESTIGATION INVOLVING A VIOLATION OF",Case Unsealed,1:21-sc-00188,dcd,True
78,IN THE MATTER OF THE SEARCH OF THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE T-MOBILE CELLULAR NUMBER AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME N,Case Unsealed,1:20-sc-03296,dcd,True
79,"USA v. 4227 JENIFER STREET N.W. WASHINGTON, D.C., AND ELECTRONIC DEVICES THEREIN UNDER RULE 41",Case Unsealed,1:21-sw-00145-1,dcd,True
80,INFORMATION ASSOCIATED WITH  ONE CELL PHONE ACCOUNT STORED AT PREMISES CONTROLLED BY AT&amp;T CORPORATION PURSUANT TO 18 U.S.C. &#167; 2703 FOR INVESTIGATION OF VIOLATION(S) OF 18 U.S.C. &#167;&#167; 111(,Case Unsealed,1:21-sc-00891,dcd,True
81,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY  FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167; 1512(c)(2), 18 U.S.C. &#167;&#167;",Sealed Document,1:21-sc-01656,dcd,True
82,"IN THE MATTER OF THE SEARCH OF: TWO CELLULAR DEVICES, A BLACK APPLE IPHONE AND BLACK ALCATEL FLIP PHONE, THAT ARE CURRENTLY IN THE POSSESSION OF THE BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVE",Case Unsealed,1:21-sc-01418,dcd,True
83,"USA v. IN THE MATTER OF THE SEARCH OF 4215 FOOTE STREET NE, WASHINGTON, D.C. 20019 (TARGET LOCATION)",Redacted Document,1:18-sw-00341-1,dcd,True
84,APPLICATION OF USA FOR 2705(b) NONDISCLOSURE ORDER FOR GRAND JURY SUBPOENA GJ2020111968168,Case Unsealed,1:20-sc-03082,dcd,True
85,"USA v. IN THE MATTER OF THE SEARCH OF 4215 FOOTE STREET NE, WASHINGTON, D.C. 20019 (TARGET LOCATION)",Case Unsealed,1:18-sw-00341-1,dcd,True
86,APPLICATION OF USA FOR 2705(b) NONDISCLOSURE ORDER FOR GRAND JURY SUBPOENA GJ2020111968168,Order on Motion to Unseal Document,1:20-sc-03082,dcd,True
87,"USA v. IN THE MATTER OF THE SEARCH OF ONE DIGITAL STORAGE MEDIA DEVICE, SERIAL NUMBER S3Z6NW0K713033N, CONTAINING THE IMAGES OF TWO WIRELESS TELEPHONES LOCATED AT 601 4TH ST NW, WASHINGTON, D.C. 20535",Case Unsealed,1:21-sw-00101-1,dcd,True
88,APPLICATION OF USA FOR 2705(b) NONDISCLOSURE ORDER FOR GRAND JURY SUBPOENA GJ2020111968168,.Order,1:20-sc-03082,dcd,True
89,"USA v. IN THE MATTER OF THE SEARCH OF 4215 FOOTE STREET NE, WASHINGTON, D.C. 20019 (TARGET LOCATION)",Redacted Document,1:18-sw-00341-1,dcd,True
90,APPLICATION OF USA FOR 2705(b) NONDISCLOSURE ORDER FOR GRAND JURY SUBPOENA GJ2020111968168,Notice,1:20-sc-03082,dcd,True
91,"USA v. MAY SALEHI AND CLOTHING, PERSONAL BELONGINGS, BACKPACKS, BRIEFCASES, PURSES, BAGS, AND ELECTRONIC DEVICES WITHIN SALEHIS IMMEDIATE CONTROL THEREIN UNDER RULE 41",Case Unsealed,1:21-sw-00144-1,dcd,True
92,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY  FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167; 1512(c)(2), 18 U.S.C. &#167;&#167;",Search and Seizure Warrant Issued,1:21-sc-01656,dcd,True
93,THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE AT&amp;T  CELL PHONE AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME NUMBER IN VIOLATION OF 18 U.S.C. &#167;,Case Unsealed,1:21-sc-00352,dcd,True
94,"USA v. MAY SALEHI AND CLOTHING, PERSONAL BELONGINGS, BACKPACKS, BRIEFCASES, PURSES, BAGS, AND ELECTRONIC DEVICES WITHIN SALEHIS IMMEDIATE CONTROL THEREIN UNDER RULE 41",Search and Seizure Warrant Returned Executed,1:21-sw-00144-1,dcd,True
95,"INFORMATION ASSOCIATED WITH ONE ACCOUNT STORED AT PREMISES CONTROLLED BY  FACEBOOK, INC. PURSUANT TO 18 U.S.C. 2703 FOR INVESTIGATION OF VIOLATION OF 18 U.S.C. &#167; 1512(c)(2), 18 U.S.C. &#167;&#167;",Application for Search/Seizure Warrant- 18 U.S.C. 2703,1:21-sc-01656,dcd,True
96,THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE AT&amp;T  CELL PHONE AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME NUMBER IN VIOLATION OF 18 U.S.C. &#167;,Order on Motion to Unseal Case,1:21-sc-00352,dcd,True
97,"USA v. 4227 JENIFER STREET N.W. WASHINGTON, D.C., AND ELECTRONIC DEVICES THEREIN UNDER RULE 41",Search and Seizure Warrant Returned Executed,1:21-sw-00145-1,dcd,True
98,USA v. A SILVER 2004 CHRYSLER TOWN AND COUNTRY BEARING MARYLAND LICENSE PLATE 4EG9203 AND VIN 2C8GP54L84R603669,Search and Seizure Warrant Returned Executed,1:21-sw-00109-1,dcd,True
99,THE MONITORING OF GLOBAL POSITIONING SYSTEM INFORMATION AND CELL SITE LOCATION DATA FOR ONE T-MOBILE CELL PHONE AND SEARCH OF INFORMATION ASSOCIATED WITH THE SAME NUMBER PURSUANT TO RULE 41 AND 18 U.S,Case Unsealed,1:21-sc-00299,dcd,True
100,USA v. A SILVER 2004 CHRYSLER TOWN AND COUNTRY BEARING MARYLAND LICENSE PLATE 4EG9203 AND VIN 2C8GP54L84R603669,Case Unsealed,1:21-sw-00109-1,dcd,True
